Price,Close,High,Low,Open,Volume
Ticker,^MOVE,^MOVE,^MOVE,^MOVE,^MOVE
Date,,,,,
2025-06-02,95.76000213623047,95.76000213623047,92.11000061035156,92.11000061035156,0
2025-06-03,100.0,100.0,95.76000213623047,95.76000213623047,0
2025-06-04,96.9800033569336,100.0,96.9800033569336,100.0,0
2025-06-05,94.6500015258789,96.9800033569336,94.6500015258789,96.9800033569336,0
2025-06-06,89.6500015258789,94.6500015258789,89.6500015258789,94.6500015258789,0
2025-06-09,92.62000274658203,92.62000274658203,89.6500015258789,89.6500015258789,0
2025-06-10,91.22000122070312,92.62000274658203,91.22000122070312,92.62000274658203,0
2025-06-11,89.36000061035156,91.22000122070312,89.36000061035156,91.22000122070312,0
2025-06-12,88.98999786376953,89.36000061035156,88.98999786376953,89.36000061035156,0
2025-06-13,95.30999755859375,95.30999755859375,88.98999786376953,88.98999786376953,0
2025-06-16,93.4800033569336,95.30999755859375,93.4800033569336,95.30999755859375,0
2025-06-17,97.18000030517578,97.18000030517578,93.4800033569336,93.4800033569336,0
2025-06-18,93.63999938964844,97.18000030517578,93.63999938964844,97.18000030517578,0
2025-06-20,90.0999984741211,93.63999938964844,90.0999984741211,93.63999938964844,0
2025-06-23,95.02999877929688,95.02999877929688,90.0999984741211,90.0999984741211,0
2025-06-24,92.62000274658203,95.02999877929688,92.62000274658203,95.02999877929688,0
2025-06-25,91.23999786376953,92.62000274658203,91.23999786376953,92.62000274658203,0
2025-06-26,89.47000122070312,91.23999786376953,89.47000122070312,91.23999786376953,0
2025-06-27,87.93000030517578,89.47000122070312,87.93000030517578,89.47000122070312,0
2025-06-30,90.26000213623047,90.26000213623047,87.93000030517578,87.93000030517578,0
2025-07-01,93.4800033569336,93.4800033569336,90.26000213623047,90.26000213623047,0
2025-07-02,91.37000274658203,93.4800033569336,91.37000274658203,93.4800033569336,0
2025-07-03,86.08999633789062,91.37000274658203,86.08999633789062,91.37000274658203,0
2025-07-07,88.52999877929688,88.52999877929688,86.08999633789062,86.08999633789062,0
2025-07-08,88.05000305175781,88.52999877929688,88.05000305175781,88.52999877929688,0
2025-07-09,84.30999755859375,88.05000305175781,84.30999755859375,88.05000305175781,0
2025-07-10,81.58000183105469,84.30999755859375,81.58000183105469,84.30999755859375,0
2025-07-11,85.4800033569336,85.4800033569336,81.58000183105469,81.58000183105469,0
2025-07-14,90.7300033569336,90.7300033569336,85.4800033569336,85.4800033569336,0
2025-07-15,88.94999694824219,90.7300033569336,88.94999694824219,90.7300033569336,0
2025-07-16,89.5199966430664,89.5199966430664,88.94999694824219,88.94999694824219,0
2025-07-17,85.56999969482422,89.5199966430664,85.56999969482422,89.5199966430664,0
2025-07-18,83.29000091552734,85.56999969482422,83.29000091552734,85.56999969482422,0
2025-07-21,86.62000274658203,86.62000274658203,83.29000091552734,83.29000091552734,0
2025-07-22,89.88999938964844,89.88999938964844,86.62000274658203,86.62000274658203,0
2025-07-23,85.94999694824219,89.88999938964844,85.94999694824219,89.88999938964844,0
2025-07-24,82.75,85.94999694824219,82.75,85.94999694824219,0
2025-07-25,82.08999633789062,82.75,82.08999633789062,82.75,0
2025-07-28,83.7300033569336,83.7300033569336,82.08999633789062,82.08999633789062,0
2025-07-29,85.06999969482422,85.06999969482422,83.7300033569336,83.7300033569336,0
2025-07-30,81.87999725341797,85.06999969482422,81.87999725341797,85.06999969482422,0
2025-07-31,79.83999633789062,81.87999725341797,79.83999633789062,81.87999725341797,0
2025-08-01,83.83000183105469,83.83000183105469,79.83999633789062,79.83999633789062,0
2025-08-04,87.94999694824219,87.94999694824219,83.83000183105469,83.83000183105469,0
2025-08-05,89.19999694824219,89.19999694824219,87.94999694824219,87.94999694824219,0
2025-08-06,83.88999938964844,89.19999694824219,83.88999938964844,89.19999694824219,0
2025-08-07,80.1500015258789,83.88999938964844,80.1500015258789,83.88999938964844,0
2025-08-08,79.19999694824219,80.1500015258789,79.19999694824219,80.1500015258789,0
2025-08-11,81.76000213623047,81.76000213623047,79.19999694824219,79.19999694824219,0
2025-08-12,77.41999816894531,81.76000213623047,77.41999816894531,81.76000213623047,0
2025-08-13,77.30999755859375,77.41999816894531,77.30999755859375,77.41999816894531,0
2025-08-14,76.7699966430664,77.30999755859375,76.7699966430664,77.30999755859375,0
2025-08-15,76.66000366210938,76.7699966430664,76.66000366210938,76.7699966430664,0
2025-08-18,81.81999969482422,81.81999969482422,76.66000366210938,76.66000366210938,0
2025-08-19,82.1500015258789,82.1500015258789,81.81999969482422,81.81999969482422,0
2025-08-20,80.75,82.1500015258789,80.75,82.1500015258789,0
2025-08-21,80.5199966430664,80.75,80.5199966430664,80.75,0
2025-08-22,78.0999984741211,80.5199966430664,78.0999984741211,80.5199966430664,0
2025-08-25,77.55999755859375,78.0999984741211,77.55999755859375,78.0999984741211,0
2025-08-26,79.36000061035156,79.36000061035156,77.55999755859375,77.55999755859375,0
2025-08-27,77.66000366210938,79.36000061035156,77.66000366210938,79.36000061035156,0
2025-08-28,77.55000305175781,77.66000366210938,77.55000305175781,77.66000366210938,0
2025-08-29,79.38999938964844,79.38999938964844,77.55000305175781,77.55000305175781,0
